标题1,关键词,店铺,状态
Apple/苹果 iPhone 11,"


￥5499.00

 ","
苏宁易购官方旗舰店
",该款月成交 11万笔
HUAWEI Huawei Mate 30 Pro 5G,"

￥6399.00

 ","
华为官方旗舰店
",该款月成交 1.4万笔
Apple/苹果 iPhone 11 Pro Max,"


￥9299.00

 ","
苏宁易购官方旗舰店
",该款月成交 6395笔
HUAWEI 华为畅享10,"

￥1149.00

 ","
华为官方旗舰店
",该款月成交 4.8万笔
honor/荣耀 荣耀9x,"

￥1799.00

 ","
荣耀官方旗舰店
",该款月成交 4.9万笔
Xiaomi/小米 Redmi Note8 Pro,"

￥1299.00

 ","
小米官方旗舰店
",该款月成交 3.4万笔
Samsung/三星 Galaxy S10+ SM-G9750,"

￥4299.00

 ","
三星官方旗舰店
",该款月成交 953笔
Samsung/三星 Galaxy S10 SM-G9730,"

￥3699.00

 ","
三星官方旗舰店
",该款月成交 2549笔
honor/荣耀 荣耀play3,"

￥899.00

 ","
荣耀官方旗舰店
",该款月成交 1.9万笔
Xiaomi/小米 Redmi Note 8,"

￥999.00

 ","
小米官方旗舰店
",该款月成交 3.8万笔
honor/荣耀 荣耀20 pro,"

￥2079.00

 ","
深蓝港数码旗舰店
",该款月成交 6266笔
Apple/苹果 Apple iPhone 11,"

￥4749.00

 ","
同迅数码专营店
",该款月成交 1989笔
Apple/苹果 iPhone XS,"

￥4189.00

 ","
翼天下天翼电信旗舰店
",该款月成交 3895笔
OPPO Reno Ace,"

￥2699.00

 ","
OPPO官方旗舰店
",该款月成交 325笔
HUAWEI HUAWEI P30,"


￥3088.00

 ","
华为莫问专卖店
",该款月成交 4488笔
HUAWEI nova 6/nova 6 5G,"

￥2749.00

 ","
京合旗舰店
",该款月成交 9949笔
vivo NEX 3 5G,"

￥5698.00

 ","
vivo官方旗舰店
",该款月成交 183笔
Apple/苹果 iPhone XR,"

￥3699.00

 ","
翼天下天翼电信旗舰店
",该款月成交 5047笔
Apple/苹果 iPhone 8 Plus,"

￥3649.00

 ","
搜酷数码专营店
",该款月成交 3114笔
Xiaomi/小米 小米CC9 PRO,"

￥2568.00

 ","
连盛数码专营店
",该款月成交 432笔
vivo iQOO Pro 5G,"

￥3098.00

 ","
vivo官方旗舰店
",该款月成交 74笔
Samsung/三星 Galaxy Note10 SM-N9700,"

￥4388.00

 ","
三星恒源盛达专卖店
",该款月成交 233笔
OPPO A11,"

￥1299.00

 ","
OPPO官方旗舰店
",该款月成交 1.2万笔
honor/荣耀 荣耀9X PRO,"

￥1849.00

 ","
三际数码官方旗舰店
",该款月成交 4958笔
HUAWEI nova 6 SE,"

￥1999.00

 ","
京合旗舰店
",该款月成交 1.6万笔
HUAWEI nova 5i,"

￥1499.00

 ","
小淘器数码专营店
",该款月成交 6340笔
honor/荣耀 荣耀20S,"

￥1699.00

 ","
同迅数码专营店
",该款月成交 149笔
vivo S5,"

￥2298.00

 ","
首佳誉数码专营店
",该款月成交 193笔
Huawei/华为 Mate 20 X,"

￥3699.00

 ","
久汇数码专营店
",该款月成交 209笔
nubia/努比亚 Z20,"

￥2699.00

 ","
努比亚官方旗舰店
",该款月成交 307笔
realme Q,"

￥1598.00

 ","
realme官方旗舰店
",该款月成交 428笔
HUAWEI HUAWEI Mate 20 X (5G),"

￥4358.00

 ","
旭翼数码专营店
",该款月成交 184笔
HUAWEI 畅享9,"

￥749.00

 ","
久汇数码专营店
",该款月成交 484笔
Xiaomi/小米 Redmi K20 Pro 尊享版,"

￥2729.00

 ","
信息港数码专营店
",该款月成交 199笔
honor/荣耀 畅玩7,"

￥477.00

 ","
创汇通达数码旗舰店
",该款月成交 688笔
Apple/苹果 Apple iPhone 11 pro Max,"

￥9499.00

 ","
天猫超市
",该款月成交 190笔
Xiaomi/小米 Redmi K30 至尊纪念版,"

￥2549.00

 ","
机御旗舰店
",该款月成交 2.7万笔
OPPO Reno4,"

￥3299.00

 ","
OPPO欧曙专卖店
",该款月成交 1.5万笔
Apple/苹果 iPhone SE (第二代),"

￥3699.00

 ","
天猫超市
",该款月成交 1.7万笔
Meizu/魅族 17 pro,"

￥4699.00

 ","
魅族官方旗舰店
",该款月成交 2719笔
honor/荣耀 荣耀 Play4,"

￥1899.00

 ","
深蓝港数码旗舰店
",该款月成交 1.3万笔
Xiaomi/小米 小米10 至尊纪念版,"

￥5999.00

 ","
机御旗舰店
",该款月成交 2.8万笔
Huawei/华为 Mate 20 Pro,"

￥3699.00

 ","
旭翼数码专营店
",该款月成交 441笔
vivo iQOO Neo3,"

￥2998.00

 ","
vivo曼尼金专卖店
",该款月成交 1.2万笔
Huawei/华为 华为 畅享Z 5G,"

￥1899.00

 ","
小淘器数码专营店
",该款月成交 2.4万笔
